PUBLICATION_ID|YEAR|PUBLICATION_NUMBER|TITLE_FRENCH|TITLE_ENGLISH|URL_FRENCH|URL_ENGLISH|DATE_PUBLISHED|PDF|TAXONOMY|SERIES|DESCRIPTION_E|DESCRIPTION_F|URL_INUKTITUT
10292|2004|2004/105|Plan d'action pour le saumon rose : Pou du poisson sur les saumons juvéniles et certaines espèces de 4 poissons autres que des salmonidés dans l'archipel Broughton en 2003.|Pink Salmon Action Plan: Sea Lice on Juvenile Salmon and on Some Non-Salmonid Species in the Broughton Archipelago in 2003.|http://www.dfo-mpo.gc.ca/csas-sccs/publications/resdocs-docrech/2004/2004_105-fra.htm|http://www.dfo-mpo.gc.ca/csas-sccs/publications/resdocs-docrech/2004/2004_105-eng.htm|19-APR-05|||4|salmon (pacific)|saumon Pacifique|
10293|2004|2004/107|Changements dans les paramètres de reproduction des femelles du phoque du Groenland (Phoca groenlandicus) de l'Atlantique Nord-Ouest.|Changes in the Reproductive Parameters of Female Harp Seals (Pagophilus groenlandicus) in the Northwest Atlantic.|http://www.dfo-mpo.gc.ca/csas-sccs/publications/resdocs-docrech/2004/2004_107-fra.htm|http://www.dfo-mpo.gc.ca/csas-sccs/publications/resdocs-docrech/2004/2004_107-eng.htm|06-MAY-05|||4|seals|phoques|
10294|2004|2004/109|Considérations au titre de l'état, des tendances et du rétablissement du corégone atlantique (Coregonus huntsmani) pour l'évaluation des dommages admissibles.|Status, trend, and recovery considerations in support of an allowable harm assessment for Atlantic whitefish (Coregonus huntsmani).|http://www.dfo-mpo.gc.ca/csas-sccs/publications/resdocs-docrech/2004/2004_109-fra.htm|http://www.dfo-mpo.gc.ca/csas-sccs/publications/resdocs-docrech/2004/2004_109-eng.htm|09-MAY-05|||4|whitefish (atlantic)|corégone (Atlantique)|
10295|2004|2004/110|Niveau de tolérance de mortalité anthropique du corégone atlantique (Coregonus huntsmani) en regard de sa survie et de son rétablissement.|Scope for human-induced mortality in the context of Atlantic whitefish (Coregonus huntsmani) survival and recovery.|http://www.dfo-mpo.gc.ca/csas-sccs/publications/resdocs-docrech/2004/2004_110-fra.htm|http://www.dfo-mpo.gc.ca/csas-sccs/publications/resdocs-docrech/2004/2004_110-eng.htm|11-MAY-05|||4|whitefish (atlantic)|corégone (Atlantique)|
10296|2004|2004/111|Captures dans diverses pêches de salmonidés et conditions environnementales dans le Labrador en 2003.|Harvests in various fisheries for salmonids and environmental conditions in Labrador, 2003.|http://www.dfo-mpo.gc.ca/csas-sccs/publications/resdocs-docrech/2004/2004_111-fra.htm|http://www.dfo-mpo.gc.ca/csas-sccs/publications/resdocs-docrech/2004/2004_111-eng.htm|01-APR-05|||4|salmon (Atlantic)|saumon Atlantique|
10297|2004|2004/121|Revue des problématiques potentielles liées à l'hydrophysique au Canada, leurs risques pour les mammifères marins, et des stratégies de monitorage et d'atténuation dans le contexte d'activités sismiques.|Review of the Potential Hydrophysical-related Issues in Canada, Risks to Marine Mammals, and Monitoring and Mitigation Strategies for Seismic Activities.|http://www.dfo-mpo.gc.ca/csas-sccs/publications/resdocs-docrech/2004/2004_121-fra.htm|http://www.dfo-mpo.gc.ca/csas-sccs/publications/resdocs-docrech/2004/2004_121-eng.htm|28-APR-05|||4|Hydrophysic; seismic; marine mammals|hydrophysique; activité sismiques; mammifères marins|
10298|2004|2004/122|Mammifères marins et programmes de «réhabilitation de la faune».|Marine mammals and "wildlife rehabilitation" programs.|http://www.dfo-mpo.gc.ca/csas-sccs/publications/resdocs-docrech/2004/2004_122-fra.htm|http://www.dfo-mpo.gc.ca/csas-sccs/publications/resdocs-docrech/2004/2004_122-eng.htm|01-APR-05|||4|marine mammals; seismic activities|mammifères marins; activité sismique|
10299|2004|2004/125|Effets possibles de la prospection sismique sur le zooplancton et les oeufs et les larves de poisson.|Potential Effect of Seismic Surveys on Fish Eggs, Larvae and Zooplankton.|http://www.dfo-mpo.gc.ca/csas-sccs/publications/resdocs-docrech/2004/2004_125-fra.htm|http://www.dfo-mpo.gc.ca/csas-sccs/publications/resdocs-docrech/2004/2004_125-eng.htm|20-APR-05|||4|seismic|sismique|
10300|2005|2005/012|Statistiques des captures du béluga au Nunavik, 1974-2004.|Harvest statistics for beluga whales in Nunavik, 1974-2004.|http://www.dfo-mpo.gc.ca/csas-sccs/publications/resdocs-docrech/2005/2005_012-fra.htm|http://www.dfo-mpo.gc.ca/csas-sccs/publications/resdocs-docrech/2005/2005_012-eng.htm|05-APR-05|||4|whales|baleines|
10301|2005|2005/024|Évaluation des stocks de morue du nord (2J+3KL).|Stock Assessment Report on Northern (2J+3KL) Cod.|http://waves-vagues.dfo-mpo.gc.ca/Library/324994.pdf|http://waves-vagues.dfo-mpo.gc.ca/Library/315775.pdf|12-MAY-05|||7|Stock status, Stock assessment, Sustainable Fisheries and Aquaculture (SFA)|Évaluation des stocks, Évaluation des populations, État des stocks, Pêches et aquaculture durables (PAD)|
10287|2004|2004/099|Évaluation-cadre de la goberge dans 4VWX5Zc.|Assessment of pollock in 4VWX5Zc using a Framework Approach.|http://www.dfo-mpo.gc.ca/csas-sccs/publications/resdocs-docrech/2004/2004_099-fra.htm|http://www.dfo-mpo.gc.ca/csas-sccs/publications/resdocs-docrech/2004/2004_099-eng.htm|05-MAY-05|||4|pollock|goberge|
10256|1996|1996/100|Mactre d'Amérique du sud du Golfe|Southern Gulf Bar Clam|http://waves-vagues.dfo-mpo.gc.ca/Library/198841.pdf|http://waves-vagues.dfo-mpo.gc.ca/Library/40640851.pdf|01-OCT-96|||5|clam|mye|
10257|1996|1996/101|Mye du sud du golfe|Southern Gulf Soft Shell Clam|http://waves-vagues.dfo-mpo.gc.ca/Library/198843.pdf|http://waves-vagues.dfo-mpo.gc.ca/Library/40640863.pdf|01-OCT-96|||5|clam|mye|
10258|1996|1996/102|Parlourde américaine du sud du Golfe|Southern Gulf Northern Quahaug|http://waves-vagues.dfo-mpo.gc.ca/Library/198848.pdf|http://waves-vagues.dfo-mpo.gc.ca/Library/40640875.pdf|01-OCT-96|||5|quahaug|palourde|
10259|1996|1996/103|Mactre de Stimpson du sud du Golfe|Southern Gulf Stimpson's Surf Clam|http://waves-vagues.dfo-mpo.gc.ca/Library/198847.pdf|http://waves-vagues.dfo-mpo.gc.ca/Library/40640917.pdf|01-OCT-96|||5|clam|mactre|
10260|1996|1996/104|Pétoncle géant du sud du golfe du Saint-Laurent|Southern Gulf of St. Lawrence Sea Scallop|http://waves-vagues.dfo-mpo.gc.ca/Library/198845.pdf|http://waves-vagues.dfo-mpo.gc.ca/Library/40641211.pdf|01-OCT-96|||5|scallop|pétoncle|
10261|1996|1996/105|Huître américaine du sud du Golfe|Southern Gulf American Oyster|http://waves-vagues.dfo-mpo.gc.ca/Library/198849.pdf|http://waves-vagues.dfo-mpo.gc.ca/Library/40641223.pdf|01-OCT-96|||5|oyster|huitre|
10262|1996|1996/106|Krill du plateau néo-écossais|Krill on the Scotian Shelf|http://waves-vagues.dfo-mpo.gc.ca/Library/199161.pdf|http://waves-vagues.dfo-mpo.gc.ca/Library/40641235.pdf|01-NOV-96|||5|krill|krill|
10263|1996|1996/107|La crevette nordique dans la partie est du plateau néo-écossais|Northern Shrimp on the Eastern Scotian Shelf|http://waves-vagues.dfo-mpo.gc.ca/Library/199940.pdf|http://waves-vagues.dfo-mpo.gc.ca/Library/40641363.pdf|01-DEC-96|||5|shrimp|crevette|
10264|1996|1996/108||Report on the Status of Hooded Seals in the Northwest Atlantic|http://waves-vagues.dfo-mpo.gc.ca/Library/40641442.pdf|http://waves-vagues.dfo-mpo.gc.ca/Library/40641442.pdf|01-DEC-96|||5|seals|phoques|
10266|1996|1996/109|Stocks d'invertébrés Région des Maritimes Vue d'esemble (1996)|Invertebrate Fisheries Maritimes Region 1996 Overview|http://waves-vagues.dfo-mpo.gc.ca/Library/211131.pdf|http://waves-vagues.dfo-mpo.gc.ca/Library/209963.pdf|01-FEB-97|||5|invertebrate|invertébré|
10267|1996|1996/110|Crab nordique de haute mer|Offshore Jonah Crab|http://waves-vagues.dfo-mpo.gc.ca/Library/210093.pdf|http://waves-vagues.dfo-mpo.gc.ca/Library/209959.pdf|01-FEB-97|||5|crab|crabe|
10268|1996|1996/111|Crabe nordique côtier du golfe du Maine (Cancer borealis)|Inshore Gulf of Maine Jonah Crab (Cancer borealis)|http://waves-vagues.dfo-mpo.gc.ca/Library/210090.pdf|http://waves-vagues.dfo-mpo.gc.ca/Library/209958.pdf|01-FEB-97|||5|crab|crabe|
10269|1996|1996/112|Crabe commun côtier du golfe du Maine (Cancer irroratus)|Inshore Gulf of Maine Rock Crab (Cancer irroratus)|http://waves-vagues.dfo-mpo.gc.ca/Library/210091.pdf|http://waves-vagues.dfo-mpo.gc.ca/Library/209960.pdf|01-FEB-97|||5|crab|crabe|
10255|1996|1996/099|Crabe-araignée du Golfe|Gulf Toad Crabs|http://waves-vagues.dfo-mpo.gc.ca/Library/199942.pdf|http://waves-vagues.dfo-mpo.gc.ca/Library/40640838.pdf|01-OCT-96|||5|crab|crabe|
10270|1996|1996/113|Crabe commun du plateau néo-écossais|Scotian Shelf Rock Crab|http://waves-vagues.dfo-mpo.gc.ca/Library/210084.pdf|http://waves-vagues.dfo-mpo.gc.ca/Library/209961.pdf|01-FEB-97|||5|crab|crabe|
10271|1996|1996/114|Crabe rouge du plateau néo-écossais|Scotian Shelf Red Crab|http://waves-vagues.dfo-mpo.gc.ca/Library/210082.pdf|http://waves-vagues.dfo-mpo.gc.ca/Library/209962.pdf|01-FEB-97|||5|crab|crabe|
10272|1996|1996/115|Homard américain (Homarus americanus) Sud du golfe du Saint-Laurent|American Lobster (Homarus americanus) Southern Gulf of St. Lawrence|http://waves-vagues.dfo-mpo.gc.ca/Library/211120.pdf|http://waves-vagues.dfo-mpo.gc.ca/Library/40641454.pdf|01-MAR-97|||5|lobster|homard|
10273|1996|1996/116|Homard de l'est du Cap-Breton ZPH 27-30|Eastern Cape Breton Lobster LFAs 27-30|http://waves-vagues.dfo-mpo.gc.ca/Library/211134.pdf|http://waves-vagues.dfo-mpo.gc.ca/Library/40641466.pdf|01-APR-97|||5|lobster|homard|
10275|1996|1996/118|Homard de la ZPH 34, sud-ouest de la Nouvelle-Écosse|Lobster LFA 34 SW Nova Scotia|http://waves-vagues.dfo-mpo.gc.ca/Library/211132.pdf|http://waves-vagues.dfo-mpo.gc.ca/Library/40641922.pdf|01-APR-97|||5|lobster|homard|
10276|1996|1996/119|Homard de la baie de Fundy (ZPH 35-38)|Bay of Fundy Lobster (LFA 35-38)|http://waves-vagues.dfo-mpo.gc.ca/Library/211105.pdf|http://waves-vagues.dfo-mpo.gc.ca/Library/40641934.pdf|01-MAR-97|||5|lobster|homard|
10277|1996|1996/120|Natice|Moonsnail|http://waves-vagues.dfo-mpo.gc.ca/Library/211130.pdf|http://waves-vagues.dfo-mpo.gc.ca/Library/40641946.pdf|01-MAR-97|||5|Moonsnail|Natice|
10278|1996|1996/121|Parlourde américaine du plateau néo-écossais|Scotian Shelf Northern Quahaug|http://waves-vagues.dfo-mpo.gc.ca/Library/211128.pdf|http://waves-vagues.dfo-mpo.gc.ca/Library/40641958.pdf|01-MAR-97|||5|quahaug|quahaug|
10279|1996|1996/122|Mactre d'Amérique du plateau néo-écossais|Scotian Shelf Atlantic Surf Clam|http://waves-vagues.dfo-mpo.gc.ca/Library/211129.pdf|http://waves-vagues.dfo-mpo.gc.ca/Library/4064196x.pdf|01-MAR-97|||5|clam|mye|
10281|1996|1996/124|Huître du Cap-Breton|Cape Breton American Oyster|http://waves-vagues.dfo-mpo.gc.ca/Library/211136.pdf|http://waves-vagues.dfo-mpo.gc.ca/Library/40642252.pdf|01-MAR-97|||5|oyster|huître|
10282|1996|1996/125|Holothurie du plateau néo-écossais|Scotian Shelf Sea Cucumber|http://waves-vagues.dfo-mpo.gc.ca/Library/212973.pdf|http://waves-vagues.dfo-mpo.gc.ca/Library/40642276.pdf|01-MAY-97|||5|sea cucumber|holothurie|
10283|1996|1996/126|Moules bleues du sud-ouest et de l'est de la Nouvelle-Écosse|Southwest and Eastern Nova Scotia Blue Mussels|http://waves-vagues.dfo-mpo.gc.ca/Library/211137.pdf|http://waves-vagues.dfo-mpo.gc.ca/Library/40642288.pdf|01-MAR-97|||5|mussels|moules|
10284|1996|1996/127|Mye de la baie de Fundy|Bay of Fundy Soft-Shell Clams|http://waves-vagues.dfo-mpo.gc.ca/Library/215950.pdf|http://waves-vagues.dfo-mpo.gc.ca/Library/40642379.pdf|01-AUG-97|||5|clam|mye|
10286|1996|1996/129|Pilot du plateau néo-écossais|Scotian Shelf Nothern Propellerclam|http://waves-vagues.dfo-mpo.gc.ca/Library/215951fre.pdf|http://waves-vagues.dfo-mpo.gc.ca/Library/40642392.pdf|01-SEP-97|||5|clam|mye|
10226|1996|1996/070|Les poissons plats de l'est de la Nouvelle-Écosse|Eastern Nova Scotia Flatfish|http://waves-vagues.dfo-mpo.gc.ca/Library/195997.pdf|http://waves-vagues.dfo-mpo.gc.ca/Library/40637517.pdf|01-JUN-96|||5|flatfish|poissons plats|
10227|1996|1996/071|Les poissons plats du sud-ouest de la Nouvelle-Écosse|Southwest Nova Flatfish|http://waves-vagues.dfo-mpo.gc.ca/Library/195995.pdf|http://waves-vagues.dfo-mpo.gc.ca/Library/40637682.pdf|01-JUN-96|||5|flatfish|poissons plats|
10228|1996|1996/072|Le flétan atlantique du plateau néo-écossais et du sud du grand Banc|Scotian Shelf and Southern Grand Bank Halibut|http://waves-vagues.dfo-mpo.gc.ca/Library/196043.pdf|http://waves-vagues.dfo-mpo.gc.ca/Library/40638030.pdf|01-JUN-96|||5|halibut (Atlantic)|flétan Atlantique|
10229|1996|1996/073|Le flétan du Groenland du plateau néo-écossais|Eastern Scotian Shelf Greenland Halibut (Turbot)|http://waves-vagues.dfo-mpo.gc.ca/Library/196039.pdf|http://waves-vagues.dfo-mpo.gc.ca/Library/40638066.pdf|01-JUN-96|||5|halibut (Greenland)|flétan du Groenland|
10230|1996|1996/074|Le loup atlantique du plateau néo-écossais|Wolffish on the Scotian Shelf|http://waves-vagues.dfo-mpo.gc.ca/Library/196040.pdf|http://waves-vagues.dfo-mpo.gc.ca/Library/40638078.pdf|01-JUN-96|||5|wolffish|loup de mer|
10231|1996|1996/075|Le brosme du plateau néo-écossais|Cusk on the Scotian Shelf|http://waves-vagues.dfo-mpo.gc.ca/Library/196038.pdf|http://waves-vagues.dfo-mpo.gc.ca/Library/4063808x.pdf|01-JUN-96|||5|cusk|brosme|
10232|1996|1996/076|Aiguillat commun de l'Atlantique nord-ouest|Northwest Atlantic Spiny Dogfish|http://waves-vagues.dfo-mpo.gc.ca/Library/196037.pdf|http://waves-vagues.dfo-mpo.gc.ca/Library/4063811x.pdf|01-JUN-96|||5|spiny dogfish|aiguillat commun|
10233|1996|1996/077|Le lançon du plateau néo-écossais|Scotian Shelf Sand Lance|http://waves-vagues.dfo-mpo.gc.ca/Library/196036.pdf|http://waves-vagues.dfo-mpo.gc.ca/Library/40638145.pdf|01-JUN-96|||5|sand lance|lançon|
10234|1996|1996/078|Crevette nordique dans l'est du plateau néo-écossais|Northern Shrimp on the Eastern Scotian Shelf|http://waves-vagues.dfo-mpo.gc.ca/Library/197051.pdf|http://waves-vagues.dfo-mpo.gc.ca/Library/40638157.pdf|01-JUL-96|||5|shrimp|crevette|
10235|1996|1996/079|Le buccin des hauts-fonds de Tusket|Waved Whelks in Tusket Shoal|http://waves-vagues.dfo-mpo.gc.ca/Library/197050.pdf|http://waves-vagues.dfo-mpo.gc.ca/Library/40638169.pdf|01-JUL-96|||5|whelk|buccin|
10236|1996|1996/080|Rapport sur l'état des stocks de saumon atlantique de l'est du Canada en 1995|Report on the Status of Atlantic Salmon Stocks in Eastern Canada in 1995|http://waves-vagues.dfo-mpo.gc.ca/Library/199893.pdf|http://waves-vagues.dfo-mpo.gc.ca/Library/199892.pdf||||5|salmon (Atlantic)|saumon Atlantique|
10237|1996|1996/081|Morue de la subdivision 3Ps|Subdivision 3Ps Cod|http://waves-vagues.dfo-mpo.gc.ca/Library/322758.pdf|http://waves-vagues.dfo-mpo.gc.ca/Library/196724.pdf||||5|cod|morue|
10238|1996|1996/082|Aiglefin de la subdivision 3Ps|Subdivision 3Ps Haddock|http://waves-vagues.dfo-mpo.gc.ca/Library/322757.pdf|http://waves-vagues.dfo-mpo.gc.ca/Library/196744.pdf||||5|haddock|aiglefin|
10239|1996|1996/083|Goberge de la subdivision 3Ps|Subdivision 3Ps Pollock|http://waves-vagues.dfo-mpo.gc.ca/Library/322755.pdf|http://waves-vagues.dfo-mpo.gc.ca/Library/40639277.pdf||||5|pollock|goberge|
10225|1996|1996/069|Aiglefin du sud du plateau néo-écossais et de la baie de fundy|Southern Scotian Shelf and Bay of Fundy Haddock|http://waves-vagues.dfo-mpo.gc.ca/Library/195998.pdf|http://waves-vagues.dfo-mpo.gc.ca/Library/40637505.pdf|01-JUN-96|||5|haddock|aiglefin|
10240|1996|1996/084|Plie canadienne de la subdivision 3Ps|Subdivision 3Ps American plaice|http://waves-vagues.dfo-mpo.gc.ca/Library/322754.pdf|http://waves-vagues.dfo-mpo.gc.ca/Library/196740.pdf||||5|plaice (american)|plie (canadienne)|
10242|1996|1996/086|Raies des divisions 3L, 3N, 3O et 3Ps|Divisions 3L, 3N, 3O and 3Ps Skates|http://waves-vagues.dfo-mpo.gc.ca/Library/322736.pdf|http://waves-vagues.dfo-mpo.gc.ca/Library/196737.pdf|01-AUG-96|||5|skate|raie|
10243|1996|1996/087|Lompe des divisions 3K, 3L, et 3Ps|Lumpfish in Divisions 3K, 3L, and 3Ps|http://waves-vagues.dfo-mpo.gc.ca/Library/322743.pdf|http://waves-vagues.dfo-mpo.gc.ca/Library/196736.pdf||||5|lumpfish|lompe|
10244|1996|1996/088|État des stocks de sébaste dans l'atlantique du nord-ouest: sébaste dans les unités 1, 2, et dans la division 3O|Status of Redfish Stocks in the Northwest Atlantic: Redfish in Units 1, 2, and 3, and in Division 3O|http://waves-vagues.dfo-mpo.gc.ca/Library/198574.pdf|http://waves-vagues.dfo-mpo.gc.ca/Library/198475.pdf||||5|redfish|sébaste|
10246|1996|1996/090|Merluche blanche des divisions 3L, 3N, 3O et 3Ps|White Hake in Divisions 3L, 3N, 3O and 3Ps|http://waves-vagues.dfo-mpo.gc.ca/Library/322752.pdf|http://waves-vagues.dfo-mpo.gc.ca/Library/196734.pdf||||5|hake|merlu/merluche|
