,id,created,updated,status,fy,advice_fy,advice_fy_rev,note
66,285,2021-07-14,2024-01-09,41,2022,2025,2026,"Client request: Defer to 2025/26, for completion after TKW CH RSIA has undergone CSAS review."
67,679,2021-12-16,2024-01-10,43,2022,2026,2027,"Client request - Deferred to 25/26, or later, pending completion of [cross reference the density spatial layers RSIA]."
68,269,2021-07-12,2024-01-10,43,2022,2025,2026,"Update - The lead clients should be changed to Vance Mercer (main contact) and Patrick Mahaux (manager). Emily Rubidge and Carrie Robb will continue as the science leads. The current timeline is to have advice by 2024-2025. However, following discussions with the science leads, we are in the process of discussing possible edits to the RISA and the timelines for the completion with our Science and Network Partners. We will work together to determine a new collaborative approach. As of now, no immediate changes are planned for the RSIA, aside from the change in leadership and that we are requesting deferring the completion date (TBD)."
69,646,2021-12-16,2022-08-25,41,2022,2023,2023,Defer - no contract initiated to review - any chance of Science providing the raw guidance?
70,950,2022-10-27,2023-11-07,41,2023,2024,2025,This request is of lower priority compared to requests related to freshwater productivity and can be deferred to a subsequent fiscal year.
71,780,2022-03-01,2023-11-28,41,2022,2023,2023,"July 5, 2022 — Justin Shead
Steering Committee meeting to revive this process is scheduled for July 12, 2022
April 14, 2022 — Joclyn Paulic
Changed to Deferred. Continued work on this file may change the status in the future.
March 1, 2022 — Justin Shead
TENTATIVE - may be rolled over to data collection and research to be conducted."
72,663,2021-12-16,2023-11-22,40,2022,2022,2023,30NOV2023-One of nine requests that went to NCR; A Tuen-Will be discussed at the National CSAS meeting in Jan 2024 since all noise related requests were deferred last year in order to have thematic discussions.
73,679,2021-12-16,2024-01-10,43,2022,2026,2027,7DEC2023-A. Biega-FFHPP will complete the first part of this request (density and overlap with shipping traffic) and the entanglement risk will come afterwards. T. Doniol-Valcroze-need more help w fishing gear (trap fisheries) and their affects; Rescope the question. Defer to 31Mar2027.
74,679,2021-12-16,2024-01-10,43,2022,2026,2027,Confirming that the request is to defer this to 2026-27. Will rescope next year.
75,287,2021-07-14,2024-01-09,41,2022,2025,2026,Please change client name to Alannah Biega and defer to 2025-26. This one will be completed after critical habitat for Transient and Offshore Killer Whales.
76,1604,2023-12-14,2024-01-16,41,2024,2028,2027,"Defer to 2026-2027? YES ! 

Eels is still a secondary fishery in the region and provides supplemental income. One of the main questions that is not in the request for the advice was to confirm that we don't have any accumulation of elvers in the region and that is why we don't have an elver fishery. 
FHM will work on seeing what data they have available, the do not have the data on elver accumulations.

To get the data will require various group to work together.

Carole said to leave it on to keep it on the radar.

NB and NS have logbooks, but PEI does not for their fishery."
